race_id,馬番,馬名,着順,単勝,複勝,確定単勝オッズ,確定人気
202604030401,9,オーサムストローク,1.0,560.0,190.0,5.6,3.0
202604030401,13,ゴールデンステップ,2.0,,110.0,2.9,2.0
202604030401,6,エポカスピーガ,3.0,,560.0,43.5,8.0
202604030401,5,マルディランダ,4.0,,,2.5,1.0
202604030401,11,トラマンダーレ,5.0,,,14.9,5.0
202604030401,8,ブラックシールド,6.0,,,6.9,4.0
202604030401,4,メイショウブレゲ,7.0,,,18.3,6.0
202604030401,1,フレイムジョーカー,8.0,,,39.4,7.0
202604030401,10,ヨシノヤッタルデー,9.0,,,159.5,10.0
202604030401,7,バトンロード,10.0,,,255.3,11.0
202604030401,12,スノーリン,11.0,,,283.7,12.0
202604030401,3,ニシノクードクール,12.0,,,53.1,9.0
202604030401,2,ニシノインヴィクタ,,,,,
202604030402,3,ウラノグラフィア,1.0,250.0,130.0,2.5,1.0
202604030402,9,レッドマウロア,2.0,,130.0,3.2,2.0
202604030402,10,スタレネルヴェント,3.0,,960.0,70.6,10.0
202604030402,13,タイセイリッター,4.0,,,10.9,4.0
202604030402,8,ウィザードシチー,5.0,,,80.0,12.0
202604030402,2,ゴルトシェーン,6.0,,,12.4,5.0
202604030402,11,ギガントシュラーク,7.0,,,166.2,13.0
202604030402,6,ニシノマキロイ,8.0,,,59.0,9.0
202604030402,1,ゴールドバーニング,9.0,,,75.5,11.0
202604030402,4,マイトレーヤー,10.0,,,18.3,6.0
202604030402,7,ピーエムリンダ,11.0,,,25.5,8.0
202604030402,12,エコロゲラン,12.0,,,22.8,7.0
202604030402,5,ミシェルバローズ,,,,5.7,3.0
202607030402,8,メイショウセイクウ,1.0,1570.0,310.0,15.7,5.0
202607030402,7,ラガッタレアーレ,2.0,,300.0,12.1,4.0
202607030402,6,ナイトインチュニス,3.0,,200.0,6.5,3.0
202607030402,5,シャトンダンス,4.0,,,23.7,6.0
202607030402,2,シーラーステート,5.0,,,2.4,1.0
202607030402,1,サトノボルテクス,6.0,,,24.0,7.0
202607030402,9,メイショウスパーク,7.0,,,67.6,10.0
202607030402,4,コスモクラウン,8.0,,,2.6,2.0
202607030402,3,ベラジオセブン,9.0,,,57.4,9.0
202607030402,10,カフジポポー,10.0,,,24.2,8.0
202607030401,8,ヴィヴェローネ,1.0,150.0,110.0,1.5,1.0
202607030401,5,コスモルミナ,2.0,,190.0,7.5,4.0
202607030401,4,コジアン,3.0,,270.0,10.9,5.0
202607030401,7,ロンリーマン,4.0,,,28.1,6.0
202607030401,9,スターオブザイヤー,5.0,,,5.5,2.0
202607030401,2,ナポリ,6.0,,,96.0,8.0
202607030401,3,スピーディスピン,7.0,,,6.9,3.0
202607030401,6,ダイメイアゲイン,8.0,,,246.4,9.0
202607030401,1,ビップルーチェ,9.0,,,53.4,7.0
202607030401,10,ヤマトデュノール,10.0,,,492.6,10.0
202601020402,13,ギャルズマインド,1.0,550.0,280.0,5.5,3.0
202601020402,8,アルテクィーン,2.0,,230.0,4.1,2.0
202601020402,5,ミハテヌユメ,3.0,,910.0,28.6,5.0
202601020402,12,ソニックアイル,4.0,,,1.7,1.0
202601020402,6,キャンドル,5.0,,,89.4,10.0
202601020402,14,トーセンルルド,6.0,,,9.1,4.0
202601020402,2,ヴィヴィアンリーチ,7.0,,,37.8,7.0
202601020402,11,インサイドストーム,8.0,,,266.7,12.0
202601020402,1,アワードリームス,9.0,,,199.1,11.0
202601020402,10,アスコットペスカ,10.0,,,469.0,13.0
202601020402,9,パーフェクトゲーム,11.0,,,29.5,6.0
202601020402,4,トスカ,12.0,,,72.2,9.0
202601020402,3,ショパンコンクール,13.0,,,43.7,8.0
202601020402,7,ゲームチェンジャー,14.0,,,470.3,14.0
202601020401,1,タガノシルフィー,1.0,520.0,180.0,5.2,3.0
202601020401,4,テンレッドサン,2.0,,280.0,12.7,6.0
202601020401,7,エリカビアリッツ,3.0,,160.0,3.8,2.0
202601020401,5,サンセリテ,4.0,,,27.5,9.0
202601020401,11,ウォータースパウト,5.0,,,10.2,4.0
202601020401,14,コイバナ,6.0,,,16.1,7.0
202601020401,12,ブライトエンジェル,7.0,,,3.3,1.0
202601020401,2,マーゴットクリュグ,8.0,,,18.6,8.0
202601020401,8,タガノラヴズワン,9.0,,,44.5,10.0
202601020401,10,モンテパステル,10.0,,,80.4,12.0
202601020401,9,セントピュアベース,11.0,,,123.9,14.0
202601020401,6,ビレッジルイーザ,12.0,,,46.4,11.0
202601020401,13,ジーティービキニ,13.0,,,10.3,5.0
202601020401,3,ゴーゴーエイミー,14.0,,,88.1,13.0
202604030403,2,ニシノリリックス,1.0,6170.0,570.0,61.7,6.0
202604030403,5,エクスマキナ,2.0,,110.0,2.4,1.0
202604030403,6,ウイニングレイ,3.0,,170.0,4.5,4.0
202604030403,7,ハンデンブレイズ,4.0,,,14.9,5.0
202604030403,4,タイセイソアリング,5.0,,,4.1,3.0
202604030403,3,イカルステソーロ,6.0,,,3.5,2.0
202604030403,1,ケイジャーダ,7.0,,,99.3,7.0
202604030403,8,ルークスイテルム,8.0,,,191.7,8.0
202607030403,7,ゴーイントゥノヴァ,1.0,580.0,180.0,5.8,3.0
202607030403,10,ルクスアルカード,2.0,,230.0,12.2,7.0
202607030403,4,ポカポカヨウキ,3.0,,160.0,4.1,2.0
202607030403,9,ロードフローリス,4.0,,,7.2,5.0
202607030403,1,サイモンジェセル,5.0,,,58.6,10.0
202607030403,6,アモロロプーロ,6.0,,,53.7,9.0
202607030403,8,エーテルワーム,7.0,,,7.9,6.0
202607030403,11,ワンダーラヴグッド,8.0,,,138.3,11.0
202607030403,2,ブレイズフォート,9.0,,,3.9,1.0
202607030403,3,ジェントル,10.0,,,17.6,8.0
202607030403,5,コルキス,11.0,,,7.1,4.0
