父名,父_産駒数,父_勝率,父_連対率,父_複勝率,父_芝勝率,父_ダート勝率,父_短距離勝率,父_中距離勝率,父_長距離勝率,父_良馬場勝率,父_重馬場勝率,父_平均着順
Adios Charlie,13,0.15384615384615385,0.23076923076923078,0.38461538461538464,0.0,0.16666666666666666,0.18181818181818182,0.0,,0.2857142857142857,0.0,5.461538461538462
Air Force Blue,40,0.075,0.1,0.2,0.0,0.10344827586206896,0.1111111111111111,0.047619047619047616,0.0,0.08695652173913043,0.0,6.85
Al Wukair,16,0.125,0.3125,0.4375,0.125,,0.0,0.13333333333333333,,0.14285714285714285,0.0,4.375
Almanzor,21,0.047619047619047616,0.09523809523809523,0.14285714285714285,0.07142857142857142,0.0,0.3333333333333333,0.0,,0.0,0.0,8.523809523809524
Always Dreaming,7,0.14285714285714285,0.42857142857142855,0.42857142857142855,,0.14285714285714285,,0.14285714285714285,,0.0,0.0,6.0
American Pharoah,612,0.14215686274509803,0.2173202614379085,0.29411764705882354,0.11023622047244094,0.15051546391752577,0.15261044176706828,0.1378299120234604,0.09090909090909091,0.13744075829383887,0.15584415584415584,7.393790849673203
Archarcharch,32,0.0,0.03125,0.0625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.78125
Army Mule,19,0.15789473684210525,0.2631578947368421,0.42105263157894735,0.0,0.16666666666666666,0.16666666666666666,0.0,,0.2,,5.894736842105263
Arrogate,159,0.1509433962264151,0.2389937106918239,0.31446540880503143,0.14285714285714285,0.15172413793103448,0.07142857142857142,0.1796875,0.0,0.08490566037735849,0.3,6.440251572327044
Australia,35,0.02857142857142857,0.02857142857142857,0.05714285714285714,0.03225806451612903,0.0,0.0,0.04,0.0,0.0,0.0,9.142857142857142
Authentic,32,0.09375,0.1875,0.25,0.0,0.12,0.18181818181818182,0.047619047619047616,,0.041666666666666664,0.5,8.25
Authorized,12,0.25,0.4166666666666667,0.5833333333333334,0.2727272727272727,0.0,,0.16666666666666666,0.3333333333333333,0.0,1.0,4.833333333333333
Awesome Again,6,0.0,0.0,0.16666666666666666,,0.0,,0.0,0.0,0.0,,6.333333333333333
Bated Breath,13,0.07692307692307693,0.07692307692307693,0.23076923076923078,0.08333333333333333,0.0,0.125,0.0,,0.0,0.0,7.384615384615385
Bayern,15,0.2,0.2,0.2,0.1111111111111111,0.3333333333333333,0.0,0.23076923076923078,,0.09090909090909091,0.5,7.333333333333333
Beau Liam,13,0.07692307692307693,0.3076923076923077,0.38461538461538464,0.0,0.08333333333333333,0.09090909090909091,0.0,,0.0,0.0,6.846153846153846
Belardo,7,0.0,0.0,0.14285714285714285,0.0,0.0,0.0,0.0,,0.0,,8.142857142857142
Bernardini,75,0.09333333333333334,0.14666666666666667,0.24,0.0625,0.1016949152542373,0.09615384615384616,0.09523809523809523,0.0,0.057692307692307696,0.3,8.213333333333333
Blame,49,0.02040816326530612,0.061224489795918366,0.14285714285714285,0.0,0.03571428571428571,0.0,0.041666666666666664,0.0,0.03125,0.0,8.46938775510204
Blue Point,34,0.08823529411764706,0.14705882352941177,0.23529411764705882,0.10714285714285714,0.0,0.10344827586206896,0.0,0.0,0.1111111111111111,0.0,8.823529411764707
Bobby's Kitten,36,0.1111111111111111,0.2222222222222222,0.4166666666666667,0.0,0.12121212121212122,0.10526315789473684,0.11764705882352941,,0.05263157894736842,0.25,6.0
Bolt d'Oro,33,0.09090909090909091,0.18181818181818182,0.21212121212121213,0.08695652173913043,0.1,0.05263157894736842,0.14285714285714285,,0.09090909090909091,0.2,9.575757575757576
Brazen Beau,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,10.142857142857142
Bullet Train,7,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,9.285714285714286
Cairo Prince,34,0.17647058823529413,0.20588235294117646,0.3235294117647059,0.0,0.21428571428571427,0.2608695652173913,0.0,0.0,0.10526315789473684,0.2222222222222222,7.4411764705882355
Cajun Breeze,13,0.15384615384615385,0.23076923076923078,0.3076923076923077,,0.15384615384615385,0.15384615384615385,,,0.1111111111111111,0.3333333333333333,6.615384615384615
Camelot,22,0.0,0.045454545454545456,0.13636363636363635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.818181818181818
Candy Ride,32,0.125,0.1875,0.28125,0.0,0.13333333333333333,0.15,0.08333333333333333,,0.15,0.0,7.40625
Canford Cliffs,7,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,10.428571428571429
Cape Cross,9,0.0,0.0,0.1111111111111111,0.0,0.0,0.0,0.0,,0.0,0.0,7.111111111111111
Capitalist,8,0.25,0.5,0.5,0.25,,0.25,,,0.4,0.0,3.75
Carpe Diem,82,0.07317073170731707,0.21951219512195122,0.35365853658536583,0.0,0.09836065573770492,0.08771929824561403,0.043478260869565216,0.0,0.10416666666666667,0.06666666666666667,6.548780487804878
Catalina Cruiser,12,0.0,0.08333333333333333,0.25,0.0,0.0,0.0,0.0,,0.0,0.0,7.5
Catholic Boy,44,0.045454545454545456,0.11363636363636363,0.13636363636363635,0.0,0.11764705882352941,0.07142857142857142,0.08333333333333333,0.0,0.03125,0.3333333333333333,7.7272727272727275
Central Banker,31,0.12903225806451613,0.22580645161290322,0.2903225806451613,0.0,0.13333333333333333,0.12903225806451613,,,0.08333333333333333,0.0,5.774193548387097
Charlatan,18,0.16666666666666666,0.4444444444444444,0.5,0.0,0.3333333333333333,0.1875,0.0,,0.1875,,6.222222222222222
Churchill,9,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,11.666666666666666
City Zip,57,0.03508771929824561,0.10526315789473684,0.17543859649122806,0.027777777777777776,0.047619047619047616,0.06896551724137931,0.0,0.0,0.0,0.125,7.508771929824562
City of Light,54,0.07407407407407407,0.18518518518518517,0.2037037037037037,0.0,0.07692307692307693,0.12121212121212122,0.0,0.0,0.1111111111111111,0.0,7.203703703703703
Classic Empire,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.666666666666666
Closing Argument,8,0.125,0.125,0.125,0.125,,0.125,,,0.16666666666666666,,6.5
Cloud Computing,10,0.4,0.6,0.9,,0.4,,0.4,,0.5,,2.3
Collected,69,0.08695652173913043,0.2463768115942029,0.36231884057971014,0.07692307692307693,0.08928571428571429,0.09523809523809523,0.07692307692307693,0.1111111111111111,0.07692307692307693,0.14285714285714285,6.2898550724637685
Competitive Edge,6,0.0,0.16666666666666666,0.16666666666666666,0.0,0.0,0.0,0.0,,0.0,0.0,10.666666666666666
Complexity,12,0.08333333333333333,0.25,0.25,0.09090909090909091,0.0,0.0,0.1,,0.125,0.0,7.916666666666667
Congrats,21,0.0,0.0,0.047619047619047616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0
Connect,16,0.125,0.1875,0.1875,0.25,0.08333333333333333,0.16666666666666666,0.1111111111111111,0.0,0.15384615384615385,,8.6875
Constitution,92,0.10869565217391304,0.20652173913043478,0.29347826086956524,0.14285714285714285,0.09859154929577464,0.13636363636363635,0.08928571428571429,0.14285714285714285,0.07936507936507936,0.05555555555555555,6.663043478260869
Cracksman,12,0.08333333333333333,0.08333333333333333,0.16666666666666666,0.1111111111111111,0.0,0.0,0.125,0.0,0.1111111111111111,0.0,8.833333333333334
Creative Cause,13,0.07692307692307693,0.07692307692307693,0.23076923076923078,0.0,0.14285714285714285,0.0,0.2,0.0,0.125,0.0,8.846153846153847
Curlin,157,0.09554140127388536,0.20382165605095542,0.3057324840764331,0.045454545454545456,0.1037037037037037,0.041666666666666664,0.10483870967741936,0.1111111111111111,0.10784313725490197,0.07407407407407407,6.968152866242038
Dabirsim,6,0.0,0.0,0.16666666666666666,0.0,,0.0,0.0,,0.0,,8.5
Dandy Man,29,0.06896551724137931,0.20689655172413793,0.3448275862068966,0.0,0.08695652173913043,0.07692307692307693,0.0,,0.0,0.2,6.0344827586206895
Dansili,30,0.16666666666666666,0.23333333333333334,0.3333333333333333,0.1724137931034483,0.0,0.16,,0.2,0.15,0.16666666666666666,5.833333333333333
Daredevil,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,10.0
Dark Angel,210,0.13333333333333333,0.19523809523809524,0.2761904761904762,0.14444444444444443,0.06666666666666667,0.13580246913580246,0.125,,0.13580246913580246,0.1875,7.238095238095238
Dawn Approach,69,0.057971014492753624,0.08695652173913043,0.11594202898550725,0.06976744186046512,0.038461538461538464,0.07407407407407407,0.05405405405405406,0.0,0.08888888888888889,0.0,8.507246376811594
Dialed In,19,0.10526315789473684,0.21052631578947367,0.3157894736842105,0.0,0.11764705882352941,0.07142857142857142,0.2,,0.125,0.0,7.7368421052631575
Discreetly Mine,5,0.0,0.0,0.0,,0.0,,0.0,,0.0,,5.6
Distorted Humor,89,0.10112359550561797,0.20224719101123595,0.29213483146067415,0.0,0.10714285714285714,0.08,0.1388888888888889,0.0,0.12727272727272726,0.05555555555555555,7.51685393258427
Dream Ahead,6,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,,11.166666666666666
Dubawi,76,0.13157894736842105,0.27631578947368424,0.34210526315789475,0.13559322033898305,0.11764705882352941,0.047619047619047616,0.17647058823529413,0.0,0.17543859649122806,0.0,6.342105263157895
Dutch Art,9,0.2222222222222222,0.4444444444444444,0.5555555555555556,0.0,0.25,0.2222222222222222,,,0.3333333333333333,0.0,4.666666666666667
Earthlight,9,0.0,0.0,0.1111111111111111,0.0,0.0,0.0,0.0,,0.0,,10.444444444444445
Elusive Quality,20,0.1,0.25,0.4,,0.1,0.10526315789473684,0.0,,0.0,0.5,6.45
Emcee,19,0.21052631578947367,0.3684210526315789,0.5263157894736842,0.0,0.25,0.125,0.2727272727272727,,0.23076923076923078,0.3333333333333333,6.157894736842105
English Channel,40,0.0,0.05,0.075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.775
Essential Quality,10,0.2,0.3,0.6,,0.2,0.0,0.25,0.0,0.16666666666666666,0.0,3.7
Exceed And Excel,47,0.14893617021276595,0.2127659574468085,0.2765957446808511,0.14814814814814814,0.15,0.13157894736842105,0.2222222222222222,,0.22580645161290322,0.0,6.574468085106383
Exceedance,12,0.16666666666666666,0.3333333333333333,0.75,0.14285714285714285,0.2,0.2222222222222222,0.0,,0.2,,4.083333333333333
Exchange Rate,7,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,12.571428571428571
Farhh,17,0.23529411764705882,0.4117647058823529,0.47058823529411764,0.23529411764705882,,0.25,0.23076923076923078,,0.23529411764705882,,5.117647058823529
Fastnet Rock,58,0.13793103448275862,0.2413793103448276,0.3620689655172414,0.1702127659574468,0.0,0.12121212121212122,0.15,0.2,0.125,0.25,6.793103448275862
Fed Biz,24,0.08333333333333333,0.25,0.4166666666666667,0.0,0.08695652173913043,0.08333333333333333,,,0.1111111111111111,0.0,6.083333333333333
First Samurai,54,0.07407407407407407,0.18518518518518517,0.2962962962962963,0.0,0.09302325581395349,0.07692307692307693,0.0,,0.05,0.25,5.5
Flatter,21,0.09523809523809523,0.14285714285714285,0.23809523809523808,0.0,0.1111111111111111,0.15384615384615385,0.0,0.0,0.14285714285714285,0.0,8.380952380952381
Fort Larned,20,0.05,0.1,0.2,0.0,0.05555555555555555,0.0,0.08333333333333333,0.0,0.09090909090909091,0.0,9.25
Frankel,659,0.09559939301972686,0.20637329286798178,0.2943854324734446,0.09981515711645102,0.07627118644067797,0.09407665505226481,0.08849557522123894,0.18181818181818182,0.10663983903420524,0.0847457627118644,6.640364188163884
Free Drop Billy,11,0.0,0.18181818181818182,0.18181818181818182,0.0,0.0,0.0,,,0.0,0.0,9.636363636363637
Free Eagle,18,0.05555555555555555,0.3333333333333333,0.3888888888888889,0.1111111111111111,0.0,0.0,0.0,0.25,0.08333333333333333,0.0,6.555555555555555
Frosted,119,0.21008403361344538,0.2857142857142857,0.35294117647058826,0.24561403508771928,0.1774193548387097,0.25,0.043478260869565216,,0.23333333333333334,0.3,7.168067226890757
Fusaichi Pegasus,15,0.0,0.06666666666666667,0.13333333333333333,,0.0,0.0,0.0,,0.0,0.0,7.733333333333333
Galileo,37,0.0,0.10810810810810811,0.13513513513513514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.08108108108108
Ghaiyyath,6,0.3333333333333333,0.6666666666666666,0.8333333333333334,0.3333333333333333,0.3333333333333333,,0.3333333333333333,,0.4,,2.8333333333333335
Ghostzapper,73,0.1506849315068493,0.2328767123287671,0.2876712328767123,0.125,0.16326530612244897,0.1951219512195122,0.07407407407407407,0.2,0.1875,0.08333333333333333,6.712328767123288
Giant's Causeway,51,0.09803921568627451,0.17647058823529413,0.2549019607843137,0.08333333333333333,0.10256410256410256,0.0,0.14285714285714285,0.0,0.07142857142857142,0.14285714285714285,7.372549019607843
Gleneagles,75,0.12,0.18666666666666668,0.30666666666666664,0.0847457627118644,0.25,0.13636363636363635,0.1,0.3333333333333333,0.12,0.0,7.066666666666666
Global Campaign,22,0.13636363636363635,0.18181818181818182,0.3181818181818182,,0.13636363636363635,0.125,0.14285714285714285,,0.0,0.3333333333333333,4.409090909090909
Golden Horn,136,0.08088235294117647,0.19117647058823528,0.3088235294117647,0.07692307692307693,0.08450704225352113,0.0,0.08080808080808081,0.1,0.05263157894736842,0.23529411764705882,6.580882352941177
Goldencents,48,0.08333333333333333,0.2708333333333333,0.3125,0.16666666666666666,0.07142857142857142,0.029411764705882353,0.21428571428571427,,0.10714285714285714,0.14285714285714285,6.229166666666667
